src_ip,dst_ip,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,Label
127.0.0.1,127.0.0.1,12656,20000,6,2026-05-12 07:20:58,0.88389,12149.701885981289,187.80617497652423,95.0344499881207,92.77172498840352,84,82,5488,5251,77,56,65.33333333333333,9.341832864585047,73,44,64.03658536585365,8.683380708882664,77,44,64.69277108433735,9.045844191692044,81.8272971403687,1680,1640,20,41,0.005356909090909,0.028209,0.0,0.0095337799084754,0.8837810000000001,0.028209,0.0,0.0106479638554216,0.0111527690153404,0.8837309999999999,0.028456,8e-05,0.0109102592592592,0.011280224710766,41,39,0,0,1,3,1,80,163,0,0,0.9761904761904762,64.69277108433735,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.33333333333333,64.03658536585365,0,84,82,5488,5251,DNP3_COMMAND_INJECTION
127.0.0.1,127.0.0.1,57506,20000,6,2026-05-12 07:27:31,0.001083,676823.6380424746,11080.3324099723,6463.527239150508,4616.805170821792,7,5,428,305,76,56,61.142857142857146,6.998542122237651,73,56,61.0,6.752777206453653,76,56,61.083333333333336,6.897563982225094,47.57638888888889,140,100,20,1,9.845454545454544e-05,0.000317,0.0,8.251761645123658e-05,0.001083,0.000528,0.0,0.0001805,0.0001701643813101,0.0009559999999999,0.000317,0.000146,0.0002389999999999,7.871785058041156e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,61.083333333333336,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.142857142857146,61.0,0,7,5,428,305,DNP3_INFO
127.0.0.1,127.0.0.1,14598,20000,6,2026-05-12 07:27:38,0.000557,1080789.946140036,17953.321364452426,10771.992818671455,7181.32854578097,6,4,370,232,74,56,61.66666666666666,6.574360974438674,64,56,58.0,3.4641016151377544,74,56,60.2,5.8275209137333865,33.96,120,80,20,1,6.188888888888889e-05,0.000155,0.0,4.5821985127094334e-05,0.00053,0.000203,0.0,0.000106,8.036168241145776e-05,0.000402,0.000165,0.000116,0.000134,2.2015146301277823e-05,1,0,0,0,2,3,0,1,8,0,0,0.6666666666666666,60.2,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.66666666666666,58.0,0,6,4,370,232,DNP3_INFO
127.0.0.1,127.0.0.1,12202,20000,6,2026-05-12 07:26:31,0.000591,1236886.632825719,20304.56852791878,11844.331641285957,8460.236886632825,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.372727272727272e-05,0.000184,0.0,5.001107315401789e-05,0.0005909999999999,0.000318,0.0,9.85e-05,0.0001088435421449,0.0004649999999999,0.000184,1.7e-05,0.0001162499999999,6.288630614052633e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,60189,20000,6,2026-05-12 07:28:16,0.000553,1321880.6509945751,21699.8191681736,12658.227848101264,9041.591320072332,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.027272727272727e-05,0.000187,0.0,4.858748606022843e-05,0.000553,0.000238,0.0,9.216666666666668e-05,7.433352017913738e-05,0.0004379999999999,0.000187,3.3e-05,0.0001094999999999,5.4490824915759895e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,61206,20000,6,2026-05-12 07:19:00,0.436164,24027.65932080593,371.4199246155116,188.00267789180216,183.41724672370944,82,80,5358,5122,77,56,65.34146341463415,9.338119505938982,73,44,64.025,8.68759892030013,77,44,64.69135802469135,9.04671275856683,81.84301173601585,1640,1600,20,40,0.0027090931677018,0.01448,0.0,0.0046698970020711,0.4361249999999999,0.01448,0.0,0.0053842592592592,0.0053832994879747,0.435931,0.014628,0.000126,0.0055181139240506,0.005511727177636,40,38,0,0,1,3,1,78,159,0,0,0.975609756097561,64.69135802469135,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.34146341463415,64.025,0,82,80,5358,5122,DNP3_COMMAND_INJECTION
127.0.0.1,127.0.0.1,41451,20000,6,2026-05-12 07:26:14,0.000593,1232715.008431703,20236.087689713324,11804.384485666104,8431.703204047217,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.3909090909090905e-05,0.000188,0.0,5.2318004106798726e-05,0.000593,0.000247,0.0,9.883333333333331e-05,8.375045605182631e-05,0.000445,0.000188,1.7e-05,0.00011125,6.134889974563521e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,52580,20000,6,2026-05-12 07:30:55,0.002777,313287.7205617573,5041.411595246669,2880.8066258552394,2160.6049693914297,8,6,521,349,77,56,65.125,8.298154915401375,73,44,58.16666666666666,8.839620404117413,77,44,62.142857142857146,9.202927661946518,84.6938775510204,160,120,20,3,0.0002136153846153,0.001075,0.0,0.0003385181595995,0.002704,0.001075,0.0,0.0003862857142857,0.0003983242449081,0.002677,0.001171,0.000119,0.0005354,0.0004707256525833,3,1,0,0,1,3,1,4,11,0,0,0.75,62.142857142857146,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.125,58.16666666666666,0,8,6,521,349,REPLAY
127.0.0.1,127.0.0.1,25456,20000,6,2026-05-12 07:26:54,0.000552,1090579.7101449275,18115.942028985508,10869.565217391304,7246.376811594203,6,4,370,232,74,56,61.66666666666666,6.574360974438674,64,56,58.0,3.4641016151377544,74,56,60.2,5.8275209137333865,33.96,120,80,20,1,6.133333333333334e-05,0.000188,0.0,6.0354508254700125e-05,0.0005239999999999,0.000226,0.0,0.0001047999999999,7.672652735527654e-05,0.0004849999999999,0.000192,0.000105,0.0001616666666666,4.0102646075068685e-05,1,0,0,0,2,3,0,1,8,0,0,0.6666666666666666,60.2,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.66666666666666,58.0,0,6,4,370,232,DNP3_INFO
127.0.0.1,127.0.0.1,2089,20000,6,2026-05-12 07:12:37,0.353966,14959.06386489098,231.66066797376016,118.65546408412108,113.00520388963912,42,40,2753,2542,77,56,65.54761904761905,9.437015218586206,73,44,63.55,8.84576169699365,77,44,64.57317073170732,9.2076724208605,84.78123140987506,840,800,20,20,0.0043699506172839,0.022808,0.0,0.0077982515069381,0.353924,0.022808,0.0,0.0086322926829268,0.0091314543608126,0.3538329999999999,0.0231,8.4e-05,0.009072641025641,0.0093008191657073,20,18,0,0,1,3,1,38,79,0,0,0.9523809523809524,64.57317073170732,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.54761904761905,63.55,0,42,40,2753,2542,NORMAL
